,x,y,sort
0,54.858913,-1.2041818,0
1,19.977772,2.4722984,2
2,50.10941,14.342903,0
3,-10.8538685,5.338708,9
4,-14.122529,-32.99603,5
5,-19.535887,-24.877157,5
6,-0.20776537,-4.931371,2
7,23.278475,-15.702595,5
8,-14.229205,10.778374,3
9,24.521053,-10.140904,3
10,-8.609722,-14.194908,8
11,6.971583,4.963565,7
12,-4.5893564,24.035482,8
13,-23.691172,9.193553,4
14,6.4266148,6.180964,7
15,46.144238,17.419294,0
16,-14.529177,-23.043856,3
17,5.330691,-3.169697,7
18,-4.6879444,10.124727,9
19,-40.361084,-9.632592,6
20,-33.056377,-7.2437463,6
21,14.777955,-14.194765,9
22,6.9990435,-28.840412,5
23,-3.1612914,-25.320349,9
24,-31.504904,-12.325538,6
25,-40.0711,5.815541,6
26,20.752134,8.465022,2
27,30.609814,-6.1661634,5
28,55.65196,-0.8729975,0
29,24.948593,4.121011,2
30,48.380245,-2.1450138,0
31,10.728742,-18.02407,9
32,-27.196733,-0.2775396,6
33,-2.111247,-1.1420816,3
34,49.101704,19.933823,0
35,1.0268583,-16.385075,8
36,18.9613,-18.46561,5
37,4.9079485,-30.268047,1
38,33.04985,-9.960812,5
39,-2.2753665,-8.55437,7
40,-25.085737,3.48542,4
41,11.809285,-4.0648003,7
42,-39.240658,12.986547,6
43,-27.39612,-13.877251,4
44,1.8863188,14.571053,9
45,-18.280052,4.7582216,4
46,49.60787,4.950254,0
47,-29.81245,14.438435,4
48,42.514023,10.363721,0
49,-26.811413,-21.675955,6
50,-4.975619,-11.851505,9
51,-21.286648,-8.465132,4
52,-26.971256,-0.48108065,6
53,26.153475,-4.982851,2
54,50.29613,10.394377,0
55,8.470899,-9.6008215,9
56,-2.7268817,12.827677,7
57,16.248602,-19.134336,1
58,0.941496,20.32408,8
59,-12.511533,22.755188,4
60,4.4392805,12.880384,8
61,-21.183666,0.097723,4
62,4.1393676,-19.41675,9
63,-23.45471,-31.148067,6
64,-21.14183,20.811977,5
65,1.5830036,-7.2230706,7
66,-1.6206721,-29.165192,5
67,9.740834,8.946782,8
68,-34.741947,-18.246813,6
