,x,y,sort
0,47.6703,4.07138,0
1,24.452415,-6.0757947,2
2,59.55284,5.8250666,0
3,-3.9206166,-13.188597,9
4,5.2688785,-31.461449,5
5,-23.403734,8.653566,5
6,15.530365,-9.144442,2
7,32.449947,4.3692164,5
8,-8.249404,-19.458012,3
9,20.03359,22.755714,3
10,-3.071645,-2.6134644,8
11,8.717406,-20.7248,7
12,-8.903002,5.416615,8
13,-27.512968,17.932796,4
14,9.596475,-19.76581,7
15,54.833523,11.3463745,0
16,-14.2057495,20.456827,3
17,3.0166554,0.45686126,7
18,-6.4263997,9.772028,9
19,-37.473923,-7.598653,6
20,-39.276703,4.684296,6
21,5.3030777,-8.535614,9
22,-16.85927,-4.0421257,5
23,-7.5577836,0.41941422,9
24,-41.372524,-15.557488,6
25,-32.687336,-8.222809,6
26,20.92451,2.7943594,2
27,32.621758,11.190039,5
28,48.701767,4.057761,0
29,16.333744,10.294508,2
30,49.417202,15.02285,0
31,1.011337,-13.23144,9
32,-42.414433,-9.172462,6
33,-1.4050399,14.651282,3
34,51.515175,8.683514,0
35,-1.5067469,4.9784045,8
36,17.437422,-17.946249,5
37,-14.894062,-3.1304462,1
38,3.8583088,32.087036,5
39,0.66079724,-4.609869,7
40,-30.833231,13.023495,4
41,8.26069,5.2640567,7
42,-27.43226,-18.220575,6
43,-26.517506,-3.1821997,4
44,-4.9508085,11.98741,9
45,-22.737776,12.0999565,4
46,49.891796,0.61929274,0
47,-29.04969,5.696963,4
48,49.639576,-6.6496315,0
49,-33.89484,-21.371754,6
50,-0.845084,-15.98117,9
51,-14.971031,-22.93162,4
52,-42.861404,-9.542355,6
53,14.890983,16.729534,2
54,45.836758,6.2223506,0
55,7.710889,-2.32824,9
56,-8.728333,-11.666873,7
57,15.709643,-20.094269,1
58,0.054999705,-19.035248,8
59,-24.502674,-25.369736,4
60,2.835185,-17.43339,8
61,-22.84294,4.9021444,4
62,-5.4048495,-7.4682474,9
63,-15.181954,-34.29577,6
64,-15.631029,28.800497,5
65,10.183847,-13.970399,7
66,-15.169973,-0.40128535,5
67,13.012673,-13.367037,8
68,-37.73135,-20.678366,6
69,-10.054245,-33.89701,4
70,53.815063,6.5530043,0
71,-6.7533937,19.027771,8
72,-34.681953,-11.811843,6
73,24.573162,10.289119,2
74,-7.5493746,8.51204,9
75,-22.947857,-22.379536,4
76,0.31825262,7.955752,7
77,-0.11031096,13.992982,9
78,-35.645115,17.548557,6
79,-14.724698,-16.090857,7
80,3.132995,21.253984,3
81,-36.719776,-19.406803,6
82,-9.024156,29.304907,5
83,12.221938,18.91373,1
84,-18.901798,-28.83003,1
85,-19.4112,15.868708,1
86,-16.503853,-35.284813,6
87,21.52331,17.228573,2
88,19.867273,23.754684,1
89,-25.929077,20.258228,5
90,-14.3070755,-25.685427,1
91,8.397342,-10.62035,7
92,-9.079839,-33.0402,4
93,4.6464586,21.12107,3
94,-14.565216,3.9885333,3
95,-42.755733,-1.2424299,6
96,60.235268,6.4190736,0
97,4.53498,-26.856005,4
98,44.93558,5.280364,0
99,-30.791739,0.3048952,4
100,3.4971826,16.044062,3
